ID  , Group       , Function                               , Lock                            , CapabilityKey      , M0_DISCONNECTED, M1_OBSERVER, M2_IDLE, M3_LIVE, M4_MOVING, M5_PROCEDURE, M6_SAFE_ERROR, M7_CALIB_MANUAL, Requirement, Notes                                                                 , Status
S-01, Session     , Backend connection indicator           ,                                 ,                    , V              , V          , V      , V      , V        , V           , V            , V              , IF-UI-004  ,                                                                       , ACTIVE
S-02, Session     , Device connection indicators           ,                                 ,                    , V              , V          , V      , V      , V        , V           , V            , V              , IF-UI-003  ,                                                                       , ACTIVE
S-03, Session     , Connected-user list                    ,                                 ,                    , V              , V          , V      , V      , V        , V           , V            , V              , REQ-SES-011,                                                                       , ACTIVE
S-04, Session     , Control-authority indicator            ,                                 ,                    , V              , V          , V      , V      , V        , V           , V            , V              , REQ-SES-011,                                                                       , ACTIVE
S-05, Session     , Request control                        ,                                 ,                    , H              , A          , H      , H      , H        , H           , D            , H              , REQ-SES-003,                                                                       , ACTIVE
S-06, Session     , Release control                        ,                                 ,                    , H              , H          , A      , A      , D        , C           , D            , D              , REQ-SES-012,                                                                       , ACTIVE
S-07, Session     , Safe state / stop all                  ,                                 ,                    , H              , D          , A      , A      , A        , C           , D            , A              , REQ-SAF-001, See OP-028 (observer access)                                          , ACTIVE
S-08, Session     , Acknowledge error / recover            ,                                 ,                    , H              , D          , H      , H      , H        , H           , A            , H              , REQ-DEV-005,                                                                       , ACTIVE
S-09, Session     , Stale-state banner                     ,                                 ,                    , V              , H          , H      , H      , H        , H           , H            , H              , INV-005    ,                                                                       , ACTIVE
D-01, Devices     , Device list / status                   ,                                 ,                    , V              , V          , V      , V      , V        , V           , V            , V              , REQ-DEV-002,                                                                       , ACTIVE
D-02, Devices     , Initialise / start device              ,                                 ,                    , H              , D          , A      , D      , D        , D           , A            , D              , REQ-DEV-001,                                                                       , ACTIVE
D-03, Devices     , Stop device                            ,                                 ,                    , H              , D          , C      , C      , D        , D           , D            , D              , REQ-DEV-001,                                                                       , ACTIVE
D-04, Devices     , Reload device configuration            ,                                 ,                    , H              , D          , C      , D      , D        , D           , C            , D              , REQ-DAT-002,                                                                       , ACTIVE
