  ,                               ,                                                                                                               ,                                                                                                                                                            ,                                                                                     ,                                                               ,
  ,                               ,                                                                                                               ,                                                                                                                                                            ,                                                                                     ,                                                               ,                     ,                 ,
# , Feature                       , Feature Details                                                                                               , Open Points                                                                                                                                                , Key architecture                                                                    , Architecture Detail                                           , Responsible         , Due             , Status
1 , Video stream (Low Res)        ,                                                                                                               , Whats the alternative: web sockets. If only one user --> prio of webrtc is low                                                                             , WebRTC incl. LiveKit using VP8                                                      , Feeded from Buffer (#3)                                       , Johannes / Christian, end of September, Started
2 , Single image download         , Download single image upon recording                                                                          , data pipeline is not decided ->                                                                                                                            , Fast-API / HTTP(S)                                                                  , from storage                                                  , TBD                 , end of September, Open
3 , Video / Image buffer          , "Intermediate storage of images
                                    Around 500 MB/s
                                    Preliminary image processing such as compute measures"                                                        , How do shared memory for other OS's than Linux                                                                                                             , Ringbuffer                                                                          , C++ with Pybind.  Separate process                            , Christian           , End of August   , Started
4 , Video storage and download    , "Local storage: OME – ZARR Spool
                                    "                                                                                                             , "constant Download or User requested Download
                                                                                                                                                    Maximum storable size?  Locally or somewhere else? -> done by changing adapters"                                                                           , Export Queue?  Separate software for downloading the raw image in the correct format,                                                               , TBD                 , end of September,
5 , User Access / Rights managment, "Potential users: Spectator, Operator, Admin"                                                                 , "ideally the central authority server can be deployed on rpi by default for standalone mode, but can be redeployed on another server for multimachine mode", newswitch has that implemented natively via locks                                   ,                                                               ,                     ,                 , Unclear
6 , Frontend / UI                 , "Support Chrome Browser
                                    "                                                                                                             , Support more Browsers?                                                                                                                                     ,                                                                                     ,                                                               , Florian             ,                 , Unclear
7 , Encryption                    ,                                                                                                               , Is that available in Rekuest?                                                                                                                              ,                                                                                     ,                                                               , Florian             ,                 , Unclear
8 , Connection synchronization    , "Frontend Connection loss -> Show message to reconnect, show if message
                                    Backend CL -> go to save state (if normal operation) or continue measuring, keep user logged in (App running)", Available in Rekuest?                                                                                                                                      , Watchdog                                                                            , Bidirecitonal                                                 ,                     ,                 , Open
9 , history storing               , Store last positions/illumination settings and go back in history                                             ,                                                                                                                                                            , via Rekuest-next                                                                    ,                                                               , Johannes            ,                 , Refactoring
10, Settings / Config managment   , "Storing settings of the microscope (Device settings, user Setting, ...)
                                    Connection to Optikit"                                                                                        ,                                                                                                                                                            , JSON File Structure on Device                                                       , "Distinguish between Hardware, General Settings, UserSettings",                     ,                 , Started (Benes Branch)
11, Synced imaging                , "Sync motion of selected stages and cameras
                                    Linked to Orkestrator for appying in „Apps“"                                                                  ,                                                                                                                                                            , On ESP32 via CAN BUS                                                                ,                                                               , Bene / Christian    ,                 , Started
12, Logging                       , Log errors / debug / info / warning on device                                                                 ,                                                                                                                                                            , python.logger with C++ interface                                                    ,                                                               , Christian           ,                 , Started
13, API                           , "Controlling the microscope externally
                                    Programming interface"                                                                                        ,                                                                                                                                                            , Defined Python interface                                                            ,                                                               , Christian / Bene    ,                 , Open
14, Web accessiblity              , "Internet should be accessible, even if Frontend is connected via WIFI"                                       ,                                                                                                                                                            ,                                                                                     ,                                                               ,                     ,                 , Unclear
15, Routines should be available  , "Z-Scan
                                    Autofocus
                                    Focus lock
                                    Stitching
                                    Calibration
                                    Range intiation (intially detect where are boarders)"                                                         , Stitchin on PI?                                                                                                                                            , Use Routines on Newswitch-py                                                        ,                                                               ,                     ,                 , started
16, hashing iscc                  ,                                                                                                               , not helpful in standalone mode                                                                                                                             ,                                                                                     ,                                                               ,                     ,                 ,
17,                               ,                                                                                                               ,                                                                                                                                                            ,                                                                                     ,                                                               ,                     ,                 ,
18,                               ,                                                                                                               ,                                                                                                                                                            ,                                                                                     ,                                                               ,                     ,                 ,
19,                               ,                                                                                                               ,                                                                                                                                                            ,                                                                                     ,                                                               ,                     ,                 ,
